Mac adrees,Lat,Lon,Alt
1c:b9:c4:15:fd:48,32.103366505,35.20977307,707.8419811
1c:b9:c4:15:fd:e8,32.10502009,35.21117827,691.0
1c:b9:c4:15:fd:ec,32.105346125,35.211865535,691.9634846
1c:b9:c4:16:05:38,32.10493096,35.20984814,690.418720625
1c:b9:c4:16:05:78,32.1050103475,35.21129231,694.3747205500001
1c:b9:c4:16:06:b8,32.10354093,35.21011904750001,705.307248775
1c:b9:c4:16:06:bc,32.103712279999996,35.2100581875,704.1887437
1c:b9:c4:16:11:a8,32.102872123333334,35.20958266666667,707.5755920333335
1c:b9:c4:16:11:ac,32.1020072,35.20982394,711.2589859
1c:b9:c4:16:1d:78,32.103863525,35.209477105000005,712.09596645
1c:b9:c4:16:1d:7c,32.10373405,35.21006524,704.0
1c:b9:c4:16:28:e8,32.103701465,35.208977142500004,703.8870137250001
1c:b9:c4:16:28:f8,32.102512583333336,35.20953486666667,698.7246035666666
1c:b9:c4:16:2b:e8,32.10499422749999,35.211366495,690.9621984
1c:b9:c4:16:2d:e8,32.104928885,35.21048287,718.0344328750001
1c:b9:c4:16:cd:18,32.10579233,35.21207784,690.3424061999999
1c:b9:c4:16:e8:f8,32.104560795000005,35.210947485,705.43328615
1c:b9:c4:16:ed:38,32.10292957,35.209694345,702.4999999999999
1c:b9:c4:16:ed:3c,32.1032176925,35.20995468500001,708.169786975
1c:b9:c4:16:ed:48,32.103400674999996,35.209816329999995,702.4999999999999
1c:b9:c4:16:ee:98,32.10261559,35.20995369,698.0
1c:b9:c4:16:ee:9c,32.10254921,35.20997646,699.0
1c:b9:c4:16:f1:58,32.10300864,35.20964577,698.0
1c:b9:c4:16:f1:98,32.10218476,35.209512795,702.0334086
1c:b9:c4:16:f4:28,32.10216438,35.20915604,693.0
1c:b9:c4:16:f4:78,32.1030388425,35.2084958325,696.76883205
1c:b9:c4:92:af:77,32.10300972,35.20960852,701.0
1c:b9:c4:94:2c:37,32.10274349,35.20988989,711.4086385
1c:b9:c4:95:36:97,32.10502807,35.21096172,733.9581295
1c:b9:c4:95:3d:67,32.10263052,35.21002971,712.9572535
1c:b9:c4:95:41:77,32.10418948,35.21099767,710.3077738
1c:b9:c4:95:44:87,32.10446847,35.21147221,706.1056554000002
1c:b9:c4:95:fd:47,32.10336815,35.20977885,700.0
1c:b9:c4:96:06:e7,32.1061716,35.21214176,689.3311853
1c:b9:c4:96:2b:e7,32.10500618,35.21121884,710.775619
24:79:2a:2b:34:e8,32.105072375,35.211460345,693.5627015499999
24:79:2a:2c:5b:d8,32.104215855,35.209975905,702.7044612750001
24:79:2a:2c:5b:dc,32.10407357,35.21064401,711.2913729
24:79:2a:2c:61:68,32.10403005,35.21063188,696.0
24:79:2a:ab:24:97,32.10406638,35.21063208,704.8039142
24:79:2a:ac:5b:d7,32.10446829,35.20949412,720.3330866000001
30:e1:71:0d:e0:63,32.10300853,35.2097974,696.5
30:e1:71:0f:b2:6a,32.10497523,35.21118447,698.0
34:8f:27:20:89:b8,32.104375055000006,35.20936669,689.99772425
3c:52:82:ef:a4:8b,32.103772845,35.21010201,701.19221915
3c:52:82:ef:d4:52,32.103662289999995,35.209950665,705.61084195
3c:52:82:ef:d4:56,32.10222832,35.21011222,713.0486228
60:e3:27:7b:e0:98,32.10386325333333,35.210272446666664,703.3333333333334
70:5a:0f:57:42:43,32.10447804,35.20959776,687.0
80:37:73:d7:ab:3a,32.10246378,35.2075634,694.1299433
84:c9:b2:b7:c8:2d,32.10229579,35.2100555,693.9999999999999
8c:0c:90:2e:e8:18,32.104040966666666,35.21055470666666,696.6468095666668
8c:0c:90:2f:d3:d8,32.10413452,35.21075672,697.6837112
8c:0c:90:6e:16:88,32.103381039999995,35.20938058,704.2751662
8c:0c:90:6f:36:58,32.10473044,35.20995225,724.305777
8c:0c:90:ad:75:e3,32.10312233,35.20883356,714.4002305
8c:0c:90:af:76:53,32.10521012,35.21178481,692.3377116
90:6c:ac:a0:18:29,32.10447585,35.209520874999995,704.3086679
